iter	Passed	Remaining
306	1667	3765
307	1673	3759
308	1678	3753
309	1683	3747
310	1689	3742
311	1695	3738
312	1700	3732
313	1706	3728
314	1712	3724
315	1717	3716
316	1722	3710
317	1727	3705
318	1732	3697
319	1737	3692
320	1743	3688
321	1748	3682
322	1754	3677
323	1760	3672
324	1764	3665
325	1770	3661
326	1776	3655
327	1781	3650
328	1787	3644
329	1792	3638
330	1797	3632
331	1803	3627
332	1808	3621
333	1813	3616
334	1820	3613
335	1825	3608
336	1830	3601
337	1837	3598
338	1842	3593
339	1848	3587
340	1855	3585
341	1860	3580
342	1866	3575
343	1871	3569
344	1876	3563
345	1882	3558
346	1888	3553
347	1893	3547
348	1898	3540
349	1904	3536
350	1909	3530
351	1914	3524
352	1920	3519
353	1925	3514
354	1931	3508
355	1936	3503
356	1942	3498
357	1947	3492
358	1953	3487
359	1957	3480
360	1962	3473
361	1968	3468
362	1973	3463
363	1979	3458
364	1985	3453
365	1990	3447
366	1996	3443
367	2002	3439
368	2007	3432
369	2012	3426
370	2017	3420
371	2022	3413
372	2026	3406
373	2031	3400
374	2036	3394
375	2041	3388
376	2047	3384
377	2052	3378
378	2058	3372
379	2063	3367
380	2069	3362
381	2074	3355
382	2080	3351
383	2086	3346
384	2091	3341
385	2097	3336
386	2102	3330
387	2107	3324
388	2113	3320
389	2119	3314
390	2124	3308
391	2129	3302
392	2133	3295
393	2138	3289
394	2144	3285
395	2150	3280
396	2155	3274
397	2161	3269
398	2167	3264
399	2173	3259
400	2179	3255
401	2184	3250
402	2190	3244
403	2195	3238
404	2200	3233
405	2205	3227
406	2211	3221
407	2216	3216
408	2221	3210
409	2227	3204
410	2232	3198
411	2237	3192
412	2243	3188
413	2248	3182
414	2253	3177
415	2259	3171
416	2264	3166
417	2269	3160
418	2274	3153
419	2279	3148
420	2285	3142
421	2291	3139
422	2297	3133
423	2302	3127
424	2307	3121
425	2312	3115
426	2317	3110
427	2322	3103
428	2327	3097
429	2332	3091
430	2338	3087
431	2343	3081
432	2347	3074
433	2353	3069
434	2358	3062
435	2363	3057
436	2369	3052
437	2374	3047
438	2380	3042
439	2385	3036
440	2391	3031
441	2396	3025
442	2402	3020
443	2408	3015
444	2413	3009
445	2418	3004
446	2423	2998
447	2430	2994
448	2436	2990
449	2442	2984
450	2447	2979
451	2453	2974
452	2459	2969
453	2465	2965
454	2471	2960
455	2478	2956
456	2486	2954
457	2491	2948
458	2497	2943
459	2503	2938
460	2508	2932
461	2514	2928
462	2520	2923
463	2525	2917
464	2531	2912
465	2537	2907
466	2542	2901
467	2547	2895
468	2552	2890
469	2558	2884
470	2563	2879
471	2569	2874
472	2574	2868
473	2579	2862
474	2585	2857
475	2590	2851
476	2597	2847
477	2603	2842
478	2609	2837
479	2614	2832
480	2620	2826
481	2625	2821
482	2631	2816
483	2635	2810
484	2641	2805
485	2646	2799
486	2652	2793
487	2658	2788
488	2663	2782
489	2668	2777
490	2674	2772
491	2679	2767
492	2685	2761
493	2690	2755
494	2695	2750
495	2701	2744
496	2707	2739
497	2713	2734
498	2718	2729
499	2724	2724
500	2729	2718
501	2735	2713
502	2741	2708
503	2746	2702
504	2751	2697
505	2757	2692
506	2762	2686
507	2768	2681
508	2774	2676
509	2779	2670
510	2784	2664
511	2790	2659
512	2795	2653
513	2801	2648
514	2808	2644
515	2813	2639
516	2819	2634
517	2825	2628
518	2830	2623
519	2836	2618
520	2842	2613
521	2847	2607
522	2853	2602
523	2859	2597
524	2865	2592
525	2871	2587
526	2876	2582
527	2882	2576
528	2889	2572
529	2894	2566
530	2899	2560
531	2904	2555
532	2910	2549
533	2916	2545
534	2921	2539
535	2927	2534
536	2933	2529
537	2939	2523
538	2944	2518
539	2950	2513
540	2954	2507
541	2959	2501
542	2966	2496
543	2971	2491
544	2977	2485
545	2983	2480
546	2988	2474
547	2993	2469
548	2999	2464
549	3005	2459
550	3011	2454
551	3017	2449
552	3023	2443
553	3028	2438
554	3034	2433
555	3040	2428
556	3046	2422
557	3051	2417
558	3056	2411
559	3061	2405
560	3067	2400
561	3072	2394
562	3078	2389
563	3084	2384
564	3090	2379
565	3096	2374
566	3101	2368
567	3106	2362
568	3112	2357
569	3119	2353
570	3123	2346
571	3129	2341
572	3134	2335
573	3140	2330
574	3145	2325
575	3151	2319
576	3157	2314
577	3163	2309
578	3169	2304
579	3174	2299
580	3181	2294
581	3187	2288
582	3193	2284
583	3198	2278
584	3203	2272
585	3210	2267
586	3215	2262
587	3221	2257
588	3228	2252
589	3233	2247
590	3239	2241
591	3246	2237
592	3251	2231
593	3257	2226
594	3263	2221
595	3268	2215
596	3273	2210
597	3279	2204
598	3284	2198
599	3290	2193
600	3295	2187
601	3301	2182
602	3306	2177
603	3312	2171
604	3317	2166
605	3324	2161
606	3329	2155
607	3334	2150
608	3340	2144
609	3345	2138
610	3350	2133
611	3357	2128
612	3363	2123
613	3368	2117
614	3374	2112
615	3380	2107
616	3386	2101
617	3390	2096
618	3396	2090
619	3402	2085
620	3408	2080
621	3413	2074
622	3418	2068
623	3423	2062
624	3428	2056
625	3433	2051
626	3439	2046
627	3444	2040
628	3450	2035
629	3456	2029
630	3462	2024
631	3467	2018
632	3472	2013
633	3478	2007
634	3485	2003
635	3490	1997
636	3494	1991
637	3500	1986
638	3505	1980
639	3510	1974
640	3516	1969
641	3521	1963
642	3527	1958
643	3533	1953
644	3539	1947
645	3544	1942
646	3549	1936
647	3555	1931
648	3560	1925
649	3567	1920
650	3572	1915
651	3578	1909
652	3584	1904
653	3590	1899
654	3595	1894
655	3601	1888
656	3606	1883
657	3613	1878
658	3618	1872
659	3623	1866
660	3629	1861
661	3635	1856
662	3641	1850
663	3647	1845
664	3653	1840
665	3658	1834
666	3664	1829
667	3670	1824
668	3676	1819
669	3681	1813
670	3686	1807
671	3692	1802
672	3698	1796
673	3703	1791
674	3710	1786
675	3715	1781
676	3721	1775
677	3727	1770
678	3733	1764
679	3738	1759
680	3743	1753
681	3749	1748
682	3754	1742
683	3759	1736
684	3765	1731
685	3770	1725
686	3776	1720
687	3782	1715
688	3788	1709
689	3794	1704
690	3800	1699
691	3806	1694
692	3811	1688
693	3816	1682
694	3821	1676
695	3826	1671
696	3831	1665
697	3837	1660
698	3843	1654
699	3848	1649
700	3855	1644
701	3860	1638
702	3865	1633
703	3871	1627
704	3876	1622
705	3882	1616
706	3887	1611
707	3893	1605
708	3897	1599
709	3903	1594
710	3908	1588
711	3913	1583
712	3918	1577
713	3923	1571
714	3928	1565
715	3935	1560
716	3940	1555
717	3945	1549
718	3951	1544
719	3956	1538
720	3961	1533
721	3967	1527
722	3972	1522
723	3977	1516
724	3983	1510
725	3989	1505
726	3994	1499
727	4000	1494
728	4005	1489
729	4010	1483
730	4016	1478
731	4021	1472
732	4026	1466
733	4032	1461
734	4038	1455
735	4043	1450
736	4049	1445
737	4054	1439
738	4059	1433
739	4064	1428
740	4071	1423
741	4076	1417
742	4081	1411
743	4087	1406
744	4092	1400
745	4099	1395
746	4104	1390
747	4109	1384
748	4115	1379
749	4120	1373
750	4126	1368
751	4131	1362
752	4136	1356
753	4142	1351
754	4147	1345
755	4152	1340
756	4158	1334
757	4165	1329
758	4170	1324
759	4175	1318
760	4181	1313
761	4187	1307
762	4193	1302
763	4198	1296
764	4203	1291
765	4209	1285
766	4214	1280
767	4219	1274
768	4225	1269
769	4230	1263
770	4236	1258
771	4241	1252
772	4247	1247
773	4252	1241
774	4258	1236
775	4264	1230
776	4269	1225
777	4275	1220
778	4280	1214
779	4285	1208
780	4291	1203
781	4296	1197
782	4301	1192
783	4307	1186
784	4313	1181
785	4319	1176
786	4326	1170
787	4330	1165
788	4336	1159
789	4342	1154
790	4347	1148
791	4353	1143
792	4360	1138
793	4365	1132
794	4372	1127
795	4376	1121
796	4381	1116
797	4389	1111
798	4394	1105
799	4399	1099
800	4405	1094
801	4411	1089
802	4416	1083
803	4422	1078
804	4427	1072
805	4432	1066
806	4438	1061
807	4443	1055
808	4448	1050
809	4454	1044
810	4460	1039
811	4465	1033
812	4472	1028
813	4477	1023
814	4484	1017
815	4489	1012
816	4494	1006
817	4500	1001
818	4505	995
819	4511	990
820	4516	984
821	4522	979
822	4527	973
823	4534	968
824	4539	962
825	4545	957
826	4550	951
827	4556	946
828	4561	941
829	4568	935
830	4573	930
831	4579	924
832	4585	919
833	4590	913
834	4596	908
835	4602	902
836	4608	897
837	4614	891
838	4619	886
839	4624	880
840	4631	875
841	4636	870
842	4641	864
843	4647	858
844	4653	853
845	4658	847
846	4664	842
847	4669	836
848	4673	831
849	4680	826
850	4685	820
851	4690	814
852	4696	809
853	4701	803
854	4706	798
855	4711	792
856	4716	787
857	4722	781
858	4728	776
859	4733	770
860	4738	765
861	4743	759
862	4748	753
863	4753	748
864	4760	742
865	4764	737
866	4770	731
867	4777	726
868	4782	721
869	4787	715
870	4793	709
871	4798	704
872	4802	698
873	4808	693
874	4814	687
875	4820	682
876	4825	676
877	4831	671
878	4837	665
879	4843	660
880	4848	654
881	4853	649
882	4859	643
883	4863	638
884	4869	632
885	4875	627
886	4880	621
887	4885	616
888	4890	610
889	4895	605
890	4901	599
891	4906	594
892	4912	588
893	4917	583
894	4923	577
895	4928	572
896	4933	566
897	4939	561
898	4944	555
899	4949	549
900	4955	544
901	4960	538
902	4965	533
903	4971	527
904	4976	522
905	4982	516
906	4988	511
907	4993	505
908	4998	500
909	5004	494
910	5009	489
911	5015	483
912	5020	478
913	5026	472
914	5031	467
915	5037	461
916	5042	456
917	5047	450
918	5052	445
919	5057	439
920	5062	434
921	5068	428
922	5073	423
923	5078	417
924	5084	412
925	5090	406
926	5095	401
927	5101	395
928	5105	390
929	5111	384
930	5117	379
931	5122	373
932	5127	368
933	5133	362
934	5139	357
935	5144	351
936	5150	346
937	5155	340
938	5161	335
939	5166	329
940	5171	324
941	5177	318
942	5183	313
943	5189	307
944	5195	302
945	5200	296
946	5205	291
947	5211	285
948	5217	280
949	5222	274
950	5228	269
951	5234	263
952	5238	258
953	5243	252
954	5249	247
955	5254	241
956	5259	236
957	5265	230
958	5270	225
959	5276	219
960	5282	214
961	5287	208
962	5292	203
963	5298	197
964	5303	192
965	5309	186
966	5314	181
967	5320	175
968	5325	170
969	5330	164
970	5336	159
971	5342	153
972	5347	148
973	5352	142
974	5359	137
975	5363	131
976	5370	126
977	5376	120
978	5381	115
979	5387	109
980	5393	104
981	5398	98
982	5404	93
983	5409	87
984	5414	82
985	5420	76
986	5426	71
987	5431	65
988	5438	60
989	5443	54
990	5448	49
991	5454	43
992	5458	38
993	5463	32
994	5468	27
995	5474	21
996	5479	16
997	5485	10
998	5491	5
999	5496	0
