iter	MultiClass
127	0.9147370013
128	0.9115077002
129	0.9081264159
130	0.9027262171
131	0.896644569
132	0.8918177761
133	0.8878366136
134	0.885534393
135	0.8816016528
136	0.8772722034
137	0.8731227671
138	0.8676213113
139	0.8623658669
140	0.8571621713
141	0.8535780651
142	0.8489614353
143	0.8465374118
144	0.8436713459
145	0.840988316
146	0.8360238087
147	0.8319114235
148	0.8272205136
149	0.8229487934
150	0.8211935787
151	0.8166554542
152	0.8124380002
153	0.807825801
154	0.8048418169
155	0.8009728523
156	0.7967596057
157	0.7929706345
158	0.7901742369
159	0.7866023179
160	0.7830046508
161	0.7787718891
162	0.7736856601
163	0.769461589
164	0.766749947
165	0.7639412598
166	0.7597281923
167	0.755152047
168	0.7530161037
169	0.7506119476
170	0.7462802576
171	0.7445708681
172	0.74205421
173	0.7373881016
174	0.7362588857
175	0.7344072139
176	0.7299965144
177	0.7264676702
178	0.7240386072
179	0.7203436091
180	0.7160015539
181	0.7145570419
182	0.7105990945
183	0.7084932663
184	0.7039426455
185	0.7004503567
186	0.6975725907
187	0.6965975609
188	0.6931667406
189	0.6910614934
190	0.6871824558
191	0.6861848138
192	0.6836782615
193	0.6806026868
194	0.6769245697
195	0.6751536425
196	0.6729859381
197	0.669002542
198	0.6657418153
199	0.6625024259
200	0.6592740978
201	0.6580965465
202	0.6547629991
203	0.651087616
204	0.6483860448
205	0.6448018034
206	0.6438880298
207	0.642082806
208	0.63937043
209	0.6366798753
210	0.6344546511
211	0.6310005401
212	0.6284735956
213	0.6268400522
214	0.623138641
215	0.6202163665
216	0.619359657
217	0.617640588
218	0.6144252667
219	0.6118785853
220	0.6098858298
221	0.6084290945
222	0.6068014941
223	0.60321298
224	0.6003238298
225	0.5995052168
226	0.5971239268
227	0.5952422241
228	0.5939296866
229	0.5922979817
230	0.5899983309
231	0.5870403818
232	0.5858846288
233	0.5828754525
234	0.5810731129
235	0.5793719585
236	0.5775791003
237	0.5757962845
238	0.5745906722
239	0.5734360485
240	0.5720490248
241	0.5701901107
242	0.5682457701
243	0.5655505121
244	0.5636011005
245	0.5617949886
246	0.559993555
247	0.5578096982
248	0.5565364933
249	0.5550298851
250	0.5534141005
251	0.5524164345
252	0.5514253492
253	0.5501468271
254	0.5479972532
255	0.5464845282
256	0.5437259847
257	0.5409114489
258	0.5398503332
259	0.5389040746
260	0.5375902401
261	0.5353406359
262	0.5331649747
263	0.5322940799
264	0.5300322966
265	0.5282941614
266	0.5260999992
267	0.5243829349
268	0.5223714373
269	0.5212602919
270	0.5190368688
271	0.5180021362
272	0.5160750783
273	0.5147648159
274	0.512835234
275	0.5110379045
276	0.5091298006
277	0.5078900972
278	0.5063265052
279	0.5051979104
280	0.503527436
281	0.5012792386
282	0.4985940768
283	0.4970017326
284	0.4952697277
285	0.4938444161
286	0.4923779621
287	0.4909196603
288	0.4893893036
289	0.4872710429
290	0.4856215246
291	0.4836823389
292	0.4827742471
293	0.4808679837
294	0.4788694912
295	0.4781326939
296	0.476805806
297	0.4751138869
298	0.4736195283
299	0.4720745075
300	0.4702985788
301	0.4684906117
302	0.4671290145
303	0.4655685015
304	0.4639448552
305	0.4626057279
306	0.4602427873
307	0.4584438111
308	0.4579630936
309	0.4559936424
310	0.4550218617
311	0.4538353682
312	0.4527688766
313	0.4514180434
314	0.449327294
315	0.4477871615
316	0.4462192978
317	0.4450438627
318	0.4436147536
319	0.4416869858
320	0.4405689383
321	0.4386596656
322	0.4377115357
323	0.4360526379
324	0.4342520085
325	0.4328022112
326	0.4323650802
327	0.431649032
328	0.4301459485
329	0.4284271317
330	0.4279852075
331	0.4267486491
332	0.4250832742
333	0.4236285258
334	0.4223792339
335	0.4219822733
336	0.4212210138
337	0.4194091175
338	0.4187062173
339	0.4171440753
340	0.4161315947
341	0.4144961879
342	0.4135904826
343	0.4124795514
344	0.4115713168
345	0.4108785348
346	0.4103214484
347	0.4089327153
348	0.4080838552
349	0.407109668
350	0.405309794
351	0.4036404218
352	0.4027791046
353	0.4020592801
354	0.4003206158
355	0.3987448488
356	0.3980349274
357	0.3971845339
358	0.3963002282
359	0.3951312504
360	0.3942541677
361	0.393597242
362	0.3922160127
363	0.3909484731
364	0.3905649531
365	0.3899541394
366	0.388379818
367	0.3874350035
368	0.3868550393
369	0.3863521115
370	0.3853287718
371	0.3842140646
372	0.3828767109
373	0.3821659445
374	0.3807292502
375	0.3801606757
376	0.3786834929
377	0.3778197021
378	0.3763111831
379	0.3751996203
380	0.3739910445
381	0.3731053487
382	0.3720319646
383	0.371620213
384	0.3710007823
385	0.3699078541
386	0.3693709593
387	0.3682167622
388	0.3670112423
389	0.366238031
390	0.3651065621
391	0.3646061309
392	0.3636358007
393	0.3629866401
394	0.3619965245
395	0.3613250679
396	0.3606667907
397	0.360031314
398	0.3583939625
399	0.3581459397
400	0.3573791434
401	0.3563277953
402	0.3553018169
403	0.3540798295
404	0.3534159271
405	0.3522755145
406	0.3512668249
407	0.350433408
408	0.3499115782
409	0.3490550797
410	0.3484889234
411	0.347209902
412	0.3468392437
413	0.3455641557
414	0.3449321429
415	0.3435346097
416	0.342173088
417	0.3414924703
418	0.3405536025
419	0.339239977
420	0.33822366
421	0.3375042367
422	0.3368737789
423	0.3358283641
424	0.3347069059
425	0.3342003849
426	0.3337725225
427	0.3329850097
428	0.3322867205
429	0.3311859168
430	0.3300748098
431	0.3288924931
432	0.3285614907
433	0.3272084377
434	0.3265578813
435	0.3258251866
436	0.3250652197
437	0.3244545593
438	0.323723951
439	0.3229374855
440	0.3225747096
441	0.3216014898
442	0.3209615643
443	0.3198597168
444	0.3188359567
445	0.3176342275
446	0.3169013442
447	0.3162150819
448	0.3153872466
449	0.314775275
450	0.3144275184
451	0.3134593392
452	0.3130334094
453	0.3122859111
454	0.3111402968
455	0.3105031958
456	0.3098180373
457	0.3088685736
458	0.3079967687
459	0.3073984284
460	0.3067726424
461	0.3058052329
462	0.3052139165
463	0.3046720594
464	0.3043035421
465	0.303714869
466	0.3031702462
467	0.302436454
468	0.3018174485
469	0.3011416642
470	0.3007910336
471	0.300028613
472	0.2995598562
473	0.2989326339
474	0.2981568997
475	0.2974624221
476	0.2969487109
477	0.2964481006
478	0.2955376609
479	0.2950619407
480	0.2939695478
481	0.2937350465
482	0.293296737
483	0.2929897114
484	0.2924127352
485	0.291661142
486	0.2906658894
487	0.2897115032
488	0.2892477751
489	0.2888075945
490	0.2878698525
491	0.2870390427
492	0.2861242194
493	0.2858156433
494	0.2854709532
495	0.2847100288
496	0.2839585107
497	0.2835545277
498	0.2832011363
499	0.2826881523
500	0.2819643604
501	0.2816431578
502	0.2813747652
503	0.2805433312
504	0.2800068748
505	0.2790392599
506	0.2784753632
507	0.277789841
508	0.2770607492
509	0.2764451281
510	0.275786191
511	0.2752883013
512	0.2745275455
513	0.2739208253
514	0.2733465905
515	0.272846056
516	0.2725318751
517	0.2719134323
518	0.2711474633
519	0.2704038354
520	0.2696771896
521	0.2690882645
522	0.2683262835
523	0.2679149444
524	0.2673419679
525	0.2666282858
526	0.2660518806
527	0.2653021521
528	0.264921213
529	0.2644682058
530	0.2641111427
531	0.2636661089
532	0.2630520862
533	0.2625667824
534	0.2620393081
535	0.261815582
536	0.26157029
537	0.2612949155
538	0.260845627
539	0.2602320563
540	0.2597933841
541	0.2593704817
542	0.258920225
543	0.2583976054
544	0.2578490532
545	0.2571660907
546	0.2563908966
547	0.2556735851
548	0.2553752333
549	0.2550199261
550	0.2546318902
551	0.2540276524
552	0.2533637014
553	0.2528280244
554	0.2523647512
555	0.2519938369
556	0.2514496644
557	0.2510538111
558	0.2504971837
559	0.2499939416
560	0.2496900866
561	0.2493288769
562	0.2488639818
563	0.2485737116
564	0.2479935867
565	0.2475043994
566	0.2469690696
567	0.2463151737
568	0.2456852219
569	0.2451134998
570	0.2447814909
571	0.2445693224
572	0.2440086983
573	0.2435717537
574	0.2430527507
575	0.2424871043
576	0.2419956138
577	0.2412769136
578	0.2407058537
579	0.2402535622
580	0.2399566416
581	0.2393750479
582	0.2387879956
583	0.2385089693
584	0.2382485305
585	0.2379867599
586	0.2377302229
587	0.2371767435
588	0.2367594999
589	0.2363363156
590	0.2357851079
591	0.2354072884
592	0.2347837344
593	0.2341928886
594	0.2336590583
595	0.2332971691
596	0.2326918703
597	0.2325249582
598	0.2320496877
599	0.2318753715
600	0.2315739815
601	0.2309276183
602	0.2307024162
603	0.2302442803
604	0.2298072904
605	0.2295857537
606	0.2293281409
607	0.2290525586
608	0.2287648778
609	0.2285236658
610	0.228251022
611	0.2279033698
612	0.227488309
613	0.2272682671
614	0.227026546
615	0.2267446365
616	0.2265916092
617	0.2262803991
618	0.2257826046
619	0.2252651689
620	0.224719542
621	0.2244149818
622	0.2239565134
623	0.2236142631
624	0.2232250101
625	0.2229306557
626	0.222573351
627	0.2220074365
628	0.221567748
629	0.2210969219
630	0.2209878493
631	0.2204540204
632	0.2203295765
633	0.2198553313
634	0.2192810235
635	0.2188774619
636	0.2185530833
637	0.218241417
638	0.2177307177
639	0.2173104963
640	0.2169222443
641	0.216535578
642	0.2162358122
643	0.2158574925
644	0.2155647379
645	0.2151026061
646	0.2148106414
647	0.2143943965
648	0.2141011616
649	0.2138427053
650	0.2134734239
651	0.2131622212
652	0.2129171678
653	0.2124769766
654	0.2118679684
655	0.2113493733
656	0.2108375696
657	0.2104405191
658	0.2099277211
659	0.2094795313
660	0.208957124
661	0.2086591743
662	0.2083359101
663	0.2079505526
664	0.2075818907
665	0.2072757843
666	0.2068325927
667	0.2064129201
668	0.2060339841
669	0.2058676687
670	0.2054091493
671	0.2049214692
672	0.2045721188
673	0.2043652655
674	0.2039220257
675	0.2035490186
676	0.2031269461
677	0.2026807772
678	0.2021217436
679	0.2017805325
680	0.2015080811
681	0.2011424396
682	0.2008375459
683	0.2004404161
684	0.2002130907
685	0.1997540277
686	0.1993883405
687	0.198970885
688	0.1985047984
689	0.1983285897
690	0.1978667824
691	0.197536362
692	0.1971272968
693	0.1968624326
694	0.1965489868
695	0.1961780657
696	0.1958541013
697	0.1957017212
698	0.1952656071
699	0.1950703374
700	0.194789951
701	0.1943625474
702	0.1941610952
703	0.1937918753
704	0.1934504494
705	0.1932638117
706	0.193059721
707	0.1928436777
708	0.1924554732
709	0.1920735055
710	0.1916676921
711	0.1913841748
712	0.1912400373
713	0.1908647519
714	0.1904540135
715	0.1903346609
716	0.1901708534
717	0.1898146458
718	0.1894940509
719	0.1893592191
720	0.188991575
721	0.1888670192
722	0.1884896384
723	0.1882301097
724	0.1880058547
725	0.1878005224
726	0.1874572656
727	0.1870693595
728	0.1867626832
729	0.1863196737
730	0.185833922
731	0.1854179174
732	0.1852024659
733	0.1848013773
734	0.1845678199
735	0.1842828196
736	0.1840024547
737	0.183617372
738	0.1835145398
739	0.1832682506
740	0.182974042
741	0.1826051462
742	0.1821949134
743	0.1821166915
744	0.1818508896
745	0.1816160337
746	0.1815169137
747	0.1811541546
748	0.1808574399
749	0.1805677577
750	0.1802258569
751	0.1799322234
752	0.1796012677
753	0.1791765144
754	0.1789478644
755	0.1786241593
756	0.1784613582
757	0.1781858542
758	0.1780344361
759	0.1776678918
760	0.1774304578
761	0.1771456732
762	0.1769489887
763	0.1768101326
764	0.1765766066
765	0.1762701294
766	0.1758655752
767	0.1756586795
768	0.1753130787
769	0.1749712862
770	0.1745740604
771	0.1742197394
772	0.174003439
773	0.1736442996
774	0.1733972395
775	0.1731910726
776	0.1729191206
777	0.1725492412
778	0.1724345692
779	0.1721046712
780	0.1719369939
781	0.1717315389
782	0.171631711
783	0.1713925561
784	0.1713053218
785	0.1710459963
786	0.1707766536
787	0.170645254
788	0.1703375909
789	0.1700026742
790	0.1697868011
791	0.1694975469
792	0.1693737375
793	0.1690837668
794	0.1687613518
795	0.1685218108
796	0.1682502358
797	0.1680521863
798	0.1678060234
799	0.1674925842
800	0.1672528608
801	0.1670202687
802	0.1668320763
803	0.1665205809
804	0.1663199919
805	0.1660460028
806	0.1657271351
807	0.1656067803
808	0.1652559876
809	0.1650039034
810	0.1647218374
811	0.16450777
812	0.1643808469
813	0.1642311501
814	0.1639797222
815	0.1637553977
816	0.1634671047
817	0.1631666248
818	0.1628736835
819	0.1626409028
820	0.1624418058
821	0.1621539008
822	0.1618641913
823	0.161631327
824	0.1615576292
825	0.1614817106
826	0.1611312627
827	0.1609293446
828	0.1606684774
829	0.1604548338
830	0.1602523754
831	0.1600292461
832	0.1598726411
833	0.1597221213
834	0.1594868595
835	0.1593679842
836	0.1592357235
837	0.1589622955
838	0.1588224164
839	0.1586571214
840	0.1584519276
841	0.1581927164
842	0.157943075
843	0.1576986771
844	0.157457414
845	0.1571695917
846	0.1570794874
847	0.1569880919
848	0.1567645544
849	0.1565879487
850	0.1564340074
851	0.1561601746
852	0.1559865579
853	0.1556700861
854	0.1555504703
855	0.1553382813
856	0.155067489
857	0.1547921426
858	0.1545302653
859	0.1542929543
860	0.1539940166
861	0.1537630561
862	0.1535410317
863	0.1534747701
864	0.1532980223
865	0.1531322326
866	0.1529553056
867	0.1528191176
868	0.152645854
869	0.1524831519
870	0.1523604257
871	0.1521974503
872	0.1520554682
873	0.1519450144
874	0.1517632531
875	0.1515886671
876	0.1514612134
877	0.1512637119
878	0.151017067
879	0.1508443656
880	0.1507294419
881	0.1505699245
882	0.1503380302
883	0.150183609
884	0.1499566591
885	0.1496903232
886	0.1495192279
887	0.1493148002
888	0.1490991837
889	0.1489042916
890	0.1486509182
891	0.1485223504
892	0.148415239
893	0.1482178579
894	0.1480807161
895	0.147889066
896	0.1477348561
897	0.1474686326
898	0.1473621215
899	0.1472098191
900	0.146996264
901	0.146820688
902	0.1466690788
903	0.1465808878
904	0.1463584431
905	0.1461173456
906	0.1460022182
907	0.1459431544
908	0.1457659081
909	0.1456225098
910	0.145539635
911	0.1453368185
912	0.1451237834
913	0.1449936045
914	0.1447509842
915	0.1446854401
916	0.1445281026
917	0.1442621222
918	0.144119851
919	0.1439045291
920	0.1437490966
921	0.1435818854
922	0.1433853331
923	0.1432017973
924	0.142983843
925	0.1428338493
926	0.1425657553
927	0.142348344
928	0.1421781953
929	0.1420407671
930	0.1418623793
931	0.1416525195
932	0.1414367621
933	0.1412985303
934	0.141169968
935	0.1410677688
936	0.1408718808
937	0.1407409655
938	0.1405970779
939	0.1404527733
940	0.1402792495
941	0.1401344003
942	0.1400496382
943	0.1399126789
944	0.1397460968
945	0.1395373922
946	0.1393894682
947	0.1391982057
948	0.1390090232
949	0.1388618071
950	0.1387090208
951	0.1385483799
952	0.1384172749
953	0.1382442041
954	0.1381129003
955	0.1379421379
956	0.1377704212
957	0.1377070284
958	0.1375742089
959	0.1375002691
960	0.1373278093
961	0.1371268513
962	0.1369769257
963	0.1368332813
964	0.1366635757
965	0.1364915964
966	0.1364017672
967	0.1363206447
968	0.1362098828
969	0.1360457452
970	0.1359160896
971	0.1358248055
972	0.135611362
973	0.1354418363
974	0.1353797901
975	0.1351969341
976	0.1350297226
977	0.1349100395
978	0.1347906131
979	0.1346287667
980	0.1344647894
981	0.1342949981
982	0.1341661576
983	0.1341108064
984	0.1339245876
985	0.1337408087
986	0.1336677884
987	0.1335110259
988	0.1334121601
989	0.1332107222
990	0.1330219882
991	0.1328568337
992	0.1327003362
993	0.1325083955
994	0.1323169145
995	0.1322024176
996	0.1321104128
997	0.1319615727
998	0.1318184318
999	0.1316561187
